"";"family";"emojis";"n";"url";"descr";"label";"Número de Tweets"
"1";"EmojiOne";"<U+2695>";3911;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png";"Un símbolo que muestra una varilla con una serpiente entrelazada alrededor del exterior en forma de espiral descendente. Asociado con medicamentos y servicios de atención médica como médicos u hospitales. Un símbolo similar y relacionado llamado Caduceo se usa con frecuencia en los Estados Unidos. Medical Symbol fue aprobado como parte de Unicode 4.1 en 2005 con el nombre Staff of Aesculapius y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/96/staff-of-aesculapius_2695.png' width='25'/>";3911
"2";"OpenSansEmoji";"<U+0001F4F9>";2818;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png";"Una cámara de video, como una videocámara utilizada para filmar videos caseros en la década de 1980–90. Generalmente se representa como una cámara de video gris o negra con visor, botones de control y lente apuntando a la izquierda. Comúnmente utilizado para diversos contenidos relacionados con películas y videos, así como un ícono para un video, como antes de una carga, enlace o crédito. El diseño de Google es azul y anteriormente presentaba una pantalla plegable. Samsung está equipado con un micrófono. La cámara de video se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/video-camera_1f4f9.png' width='25'/>";2818
"3";"OpenSansEmoji";"<U+0001F637>";2770;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png";"Una cara amarilla con los ojos cerrados y una máscara quirúrgica blanca, como la que usan los trabajadores de la salud en los hospitales. También se usa para evitar enfermedades o propagar enfermedades transmitidas por el aire. Windows 8.1 representaba una máscara antipolvo, utilizada por los trabajadores de la construcción, cambiada a una máscara médica en Windows 10. En 2020, este emoji se utilizó principalmente en referencia al Coronavirus / COVID-19. Face with Medical Mask se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/face-with-medical-mask_1f637.png' width='25'/>";2770
"4";"OpenSansEmoji";"<U+0001F1F2><U+0001F1FD>";2309;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png";"La bandera de México, que puede aparecer como las letras MX en algunas plataformas. La bandera: El emoji de México es una secuencia de los emojis Symbol Símbolo de indicador regional Letra M y emo Símbolo de símbolo de indicador regional X. Estos se muestran como un solo emoji en las plataformas compatibles. Bandera: México se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/flag-for-mexico_1f1f2-1f1fd.png' width='25'/>";2309
"5";"EmojiOne";"<U+26A0>";2196;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/warning-sign_26a0.png";"Un triángulo con un signo de exclamación dentro, utilizado como advertencia o alerta. La advertencia se aprobó como parte de Unicode 4.0 en 2003 con el nombre Señal de advertencia y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/warning-sign_26a0.png' width='25'/>";2196
"6";"EmojiOne";"<U+2640>";1764;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png";"Un círculo que se muestra con una línea vertical cruzada debajo de él, que se usa como representación para las mujeres. Female Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/female-sign_2640.png' width='25'/>";1764
"7";"OpenSansEmoji";"<U+0001F4DD>";1604;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png";"Un trozo de papel blanco con el texto escrito con un lápiz amarillo, colocado sobre la hoja, con la punta hacia abajo, en un ángulo de 45 °. Comúnmente utilizado para contenido relacionado con varios tipos de documentos y escritos, incluida la firma (en deportes). Los diseños de WhatsApp y Facebook representan un antiguo memorando de oficina en papel rosa. Apple sugiere una nota informal con el huevo de pascua del texto escrito a mano de su campaña publicitaria Crazy Ones / Think Different de 1997–2002: A los locos. Los inadaptados. Los rebeldes. Los alborotadores. Las clavijas redondas en los agujeros cuadrados ... No debe confundirse con <U+0001F4C4> Page Facing Up u otros emojis con hojas de papel. Memo se aprobó como parte de Unicode 6.0 en 2010 y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/memo_1f4dd.png' width='25'/>";1604
"8";"EmojiOne";"<U+2642>";1418;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png";"Un círculo que se muestra con una flecha diagonal que señala la esquina superior derecha, que se usa como representación para los hombres. Male Sign se aprobó como parte de Unicode 1.1 en 1993 y se agregó a Emoji 4.0 en 2016.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/google/241/male-sign_2642.png' width='25'/>";1418
"9";"OpenSansEmoji";"<U+0001F447>";1273;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png";"El dedo índice apuntando hacia abajo. El índice de revés apuntando hacia abajo fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Índice de revés apuntando hacia abajo y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/white-down-pointing-backhand-index_1f447.png' width='25'/>";1273
"10";"OpenSansEmoji";"<U+0001F6A8>";1179;"https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png";"Una luz roja giratoria vista en la parte superior de un coche de policía. A menudo se usa en circunstancias de emergencia, además de una sirena que emite un fuerte sonido de advertencia. Police Car Light fue aprobado como parte de Unicode 6.0 en 2010 bajo el nombre de Police Cars Revolving Light y se agregó a Emoji 1.0 en 2015.";"<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/237/police-cars-revolving-light_1f6a8.png' width='25'/>";1179
